Year,Classes of disasters,Rayons,Sex,Age group,Value
2010,,,,,
2010,,,,,
2010,Technogenic,,,,
2010,Natural  (by genres),,,,
2010,Social and biological,,,,
2010,,(Rayons list),,,
2010,,,Men,,
2010,,,Women,,
2010,,,,,
2011,,,,,
2011,,,,,
2011,Technogenic,,,,
2011,Natural  (by genres),,,,
2011,Social and biological,,,,
2011,,(Rayons list),,,
2011,,,Men,,
2011,,,Women,,
2011,,,,,
2012,,,,,
2012,,,,,
2012,Technogenic,,,,
2012,Natural  (by genres),,,,
2012,Social and biological,,,,
2012,,(Rayons list),,,
2012,,,Men,,
2012,,,Women,,
2012,,,,,
2013,,,,,
2013,,,,,
2013,Technogenic,,,,
2013,Natural  (by genres),,,,
2013,Social and biological,,,,
2013,,(Rayons list),,,
2013,,,Men,,
2013,,,Women,,
2013,,,,,
2014,,,,,
2014,,,,,
2014,Technogenic,,,,
2014,Natural  (by genres),,,,
2014,Social and biological,,,,
2014,,(Rayons list),,,
2014,,,Men,,
2014,,,Women,,
2014,,,,,
2015,,,,,
2015,,,,,
2015,Technogenic,,,,
2015,Natural  (by genres),,,,
2015,Social and biological,,,,
2015,,(Rayons list),,,
2015,,,Men,,
2015,,,Women,,
2015,,,,,
2016,,,,,
2016,,,,,
2016,Technogenic,,,,
2016,Natural  (by genres),,,,
2016,Social and biological,,,,
2016,,(Rayons list),,,
2016,,,Men,,
2016,,,Women,,
2016,,,,,
2017,,,,,
2017,,,,,
2017,Technogenic,,,,
2017,Natural  (by genres),,,,
2017,Social and biological,,,,
2017,,(Rayons list),,,
2017,,,Men,,
2017,,,Women,,
2017,,,,,
2018,,,,,
2018,,,,,
2018,Technogenic,,,,
2018,Natural  (by genres),,,,
2018,Social and biological,,,,
2018,,(Rayons list),,,
2018,,,Men,,
2018,,,Women,,
2018,,,,,
