Year,Area of residence (subjected to violence),Sex (subjected to violence),Age group (subjected to violence),Disability (subjected to violence),"Number of neglected children, at the end of the year",Area of residence (neglected),Sex (neglected),Age group (neglected),Disability (neglected),Value
2010,,,,,,,,,,
2010,Urban,,,,,,,,,
2010,Rural,,,,,,,,,
2010,,Girls,,,,,,,,
2010,,Boys,,,,,,,,
2010,,,0-2 years,,,,,,,
2010,,,3-6 years,,,,,,,
2010,,,7-15 years,,,,,,,
2010,,,16-17 years,,,,,,,
2010,,,,With disabilities,,,,,,
2010,,,,,Total,,,,,
2010,,,,,,Urban,,,,
2010,,,,,,Rural,,,,
2010,,,,,,,Fete,,,
2010,,,,,,,Băieți,,,
2010,,,,,,,,0-2 ani,,
2010,,,,,,,,3-6 ani,,
2010,,,,,,,,7-15 ani,,
2010,,,,,,,,16-17 ani,,
2010,,,,,,,,,With disabilities,
2011,,,,,,,,,,
2011,Urban,,,,,,,,,
2011,Rural,,,,,,,,,
2011,,Girls,,,,,,,,
2011,,Boys,,,,,,,,
2011,,,0-2 years,,,,,,,
2011,,,3-6 years,,,,,,,
2011,,,7-15 years,,,,,,,
2011,,,16-17 years,,,,,,,
2011,,,,With disabilities,,,,,,
2011,,,,,Total,,,,,
2011,,,,,,Urban,,,,
2011,,,,,,Rural,,,,
2011,,,,,,,Fete,,,
2011,,,,,,,Băieți,,,
2011,,,,,,,,0-2 ani,,
2011,,,,,,,,3-6 ani,,
2011,,,,,,,,7-15 ani,,
2011,,,,,,,,16-17 ani,,
2011,,,,,,,,,With disabilities,
2012,,,,,,,,,,
2012,Urban,,,,,,,,,
2012,Rural,,,,,,,,,
2012,,Girls,,,,,,,,
2012,,Boys,,,,,,,,
2012,,,0-2 years,,,,,,,
2012,,,3-6 years,,,,,,,
2012,,,7-15 years,,,,,,,
2012,,,16-17 years,,,,,,,
2012,,,,With disabilities,,,,,,
2012,,,,,Total,,,,,
2012,,,,,,Urban,,,,
2012,,,,,,Rural,,,,
2012,,,,,,,Fete,,,
2012,,,,,,,Băieți,,,
2012,,,,,,,,0-2 ani,,
2012,,,,,,,,3-6 ani,,
2012,,,,,,,,7-15 ani,,
2012,,,,,,,,16-17 ani,,
2012,,,,,,,,,With disabilities,
2013,,,,,,,,,,
2013,Urban,,,,,,,,,
2013,Rural,,,,,,,,,
2013,,Girls,,,,,,,,
2013,,Boys,,,,,,,,
2013,,,0-2 years,,,,,,,
2013,,,3-6 years,,,,,,,
2013,,,7-15 years,,,,,,,
2013,,,16-17 years,,,,,,,
2013,,,,With disabilities,,,,,,
2013,,,,,Total,,,,,
2013,,,,,,Urban,,,,
2013,,,,,,Rural,,,,
2013,,,,,,,Fete,,,
2013,,,,,,,Băieți,,,
2013,,,,,,,,0-2 ani,,
2013,,,,,,,,3-6 ani,,
2013,,,,,,,,7-15 ani,,
2013,,,,,,,,16-17 ani,,
2013,,,,,,,,,With disabilities,
2014,,,,,,,,,,
2014,Urban,,,,,,,,,
2014,Rural,,,,,,,,,
2014,,Girls,,,,,,,,
2014,,Boys,,,,,,,,
2014,,,0-2 years,,,,,,,
2014,,,3-6 years,,,,,,,
2014,,,7-15 years,,,,,,,
2014,,,16-17 years,,,,,,,
2014,,,,With disabilities,,,,,,
2014,,,,,Total,,,,,
2014,,,,,,Urban,,,,
